Institution,Category - ALL,Category - Scheduled Caste(SC),Category - Scheduled Tribe (ST),Category - Other Backward Classes (OBC),Category - Person With Disability (PWD),Category - Muslim,Category - Other Minority Communities,Category - Foreign Students
"Kaviyattu College of Education, Pirappancode P.O., Thiruvananthapuram (Id: C-43681)",3.45,0.5,NA,3.43,NA,3,NA,NA
"Kavyamandala, Bangalore (Id: C-26684)",0.92,2,NA,NA,NA,NA,NA,NA
Kawa college of Education (Id: C-22878),1.12,0.57,NA,0.76,NA,0.43,NA,NA
Kawa Institute of Management & Technology (Id: C-23017),0.42,NA,NA,NA,NA,0.5,NA,NA
Kaypeeyes College of Arts and Science (Id: C-41119),0.44,0.42,1,0,NA,0,0.46,NA
Kazi Nazrul Islam Mahavidyalaya (Id: C-44773),0.59,0.98,0.62,0.41,0.33,0.72,NA,NA
K.B.A. MAHAVIDYALAYA BARNAHAL MAINPURI (Id: C-15202),0.9,0.7,NA,1.18,NA,0.48,NA,NA
"K.B.College,Baranga,Khurda (Id: C-39757)",0.86,2.6,NA,NA,NA,NA,NA,NA
"K. B. COLLEGE, BERMO, BOKARO (Id: C-44449)",0.9,0.81,0.86,0.79,NA,NA,NA,NA
"K.B.D.A.V.College, Nirakarpur, Khurda (Id: C-39847)",0.77,0.85,0,NA,NA,NA,NA,NA
"K.B.H.S.S. Trust's Dr.B.V. Hiray College of Management & Research Centre, Address: Krushi Nagar, Malegaon Camp, Malegaon, Taluka: Malegaon District: Nashik (Id: C-42165)",0.38,0.29,NA,0.42,NA,0.08,NA,NA
"K.B. Jha College, Katihar (Id: C-29600)",0.17,0.11,0.22,0.17,NA,0.16,NA,NA
K.B.N. COLLEGE (Id: C-27168),0.88,0.59,0.9,0.9,0.25,0.62,NA,NA
"K B N College of Engineering, GULBARGA (Id: C-1351)",0.45,0.62,0.5,0.31,0,0.52,NA,NA
"K.B.PATEL COLLEGE OF NURSING ,GODRIPARA ,CHIRMIRI (Id: C-33000)",39,8,NA,NA,NA,NA,NA,NA
K. B. Sumeria Commerce and Natraj Professional Science College (B. Com.) (Id: C-701),1.83,1.27,0.5,1.74,NA,1.15,0,NA
"K. B. WOMEN'S COLLEGE, HAZARIBAG (Id: C-44396)",NA,NA,NA,NA,NA,NA,NA,NA
"K.B.Women's College,Madhepura (Id: C-29585)",155.5,NA,NA,155,NA,NA,NA,NA
"K. C. Ajamera Ayurved Mahavidyalya, Dhule (Id: C-13874)",1.18,3.33,1.5,0.84,NA,NA,NA,NA
"K.C.B. Technical Academy Umaria Rau, Indore (Id: C-29720)",0.26,0.21,0.5,0.19,NA,0.02,0.05,NA
KC College of Education (Id: C-30800),2.04,2,0,0.85,NA,NA,NA,NA
K.C. COLLEGE OF EDUCATION (Id: C-28038),9,1.67,NA,21,NA,NA,1,NA
"K.C. College of Education, NawanShehar (Id: C-27907)",4.26,3.86,NA,0,NA,NA,NA,NA
K.C College of Engg. and Information Technology (Id: C-10357),0.17,0.13,0,0.08,NA,0,0,NA
K.C. Das Commerce College (Id: C-17090),0.81,0.56,0.48,0.73,NA,NA,NA,NA
"K.C. Education and Socail Welfare Society Group of Research & Professional Institutes, VPO pandoga, Uparla Tehsil & Distt Una (Id: C-11415)",0.2,0.23,0.1,0.12,NA,NA,NA,NA
"K.C. Education and Social Welfarre Society Group of Research & Professional Institutes, VPO pandoga Uparla Tehsil & Distt Una (Id: C-11309)",0.67,0.4,NA,0.75,NA,NA,NA,NA
"KCEF COLLEGE OF EDUCATION, PULWAMA (Id: C-45995)",0.58,NA,NA,0.62,NA,NA,NA,NA
KCG College of Technology (Id: C-16611),0.39,0.38,0.5,0.38,NA,0.21,0.58,NA
K.C.G. Sanskrit College (Id: C-44072),1.2,NA,NA,NA,NA,NA,NA,NA
K.C. Gurukul College of Education (Id: C-30789),1.35,1.3,0.8,0.78,NA,NA,NA,NA
K Chandrakala College (P.G.) (Id: C-32666),1.64,1.83,1,1.5,NA,1,NA,NA
"K.C Institute of Hotel Management, Nawansheher (Id: C-10456)",0.07,0.17,NA,NA,NA,NA,NA,NA
"K.C. Institute of Management Pandoga, Uparla, Distt Una (Id: C-11519)",0.8,0.32,NA,1.31,NA,NA,NA,NA
"K.C. Institute of Pharmaceutical Sciences, VPO Pandoga Uprla, Distt Una (Id: C-11329)",0.93,0.8,0,1.25,NA,NA,NA,NA
K.C.M. ARMY COLLEGE OF EDUCATION (Id: C-28205),2.06,1.86,NA,1.8,NA,NA,NA,NA
K.C Minerva College of Education (Id: C-22964),1.71,2,NA,1.5,NA,NA,NA,NA
K.C. of Engg. & Tech. Kishanganj (Id: C-29623),0.03,0,NA,0.06,NA,0.02,NA,NA
K.C. Pipili +3 Mahavidyalaya (Id: C-21367),1.69,0.32,0,2.05,NA,NA,NA,NA
K.C Reddy Institute of Pharmaceutical Sciences (Id: C-39485),0.62,0.49,0.36,0.34,NA,1.09,2,NA
"KC Reddy PG College, Janamguntapalem (Id: C-42658)",0.62,0.44,0.33,0.57,NA,NA,NA,NA
KC School of Management and Computer Application (Id: C-10442),0.61,2,NA,NA,NA,NA,NA,NA
K.C.S College of Education (Id: C-23007),NA,NA,NA,NA,NA,NA,NA,NA
"KCS Dr.A.V.Baliga Arts & Science College, Kumta. (N.K.) (Id: C-35490)",2.1,0.75,NA,1.88,NA,NA,NA,NA
KCS Dr.A.V.Baliga Comm. & B.B.A. College of Kumta. (Id: C-35661),0.98,1.17,NA,1.05,NA,1.07,1.62,NA
K. C. Sheth Arts College (Id: C-5823),0.85,0.85,1.43,0.65,NA,0.83,NA,NA
KCS KASI NADAR COLLEGE OF ARTS AND SCIENCE (Id: C-43983),1.33,1.35,0,1.32,NA,NA,NA,NA
KCT College of Pharmacy (Id: C-40241),0.06,NA,NA,NA,NA,0.08,0.04,NA
"K C T Engineering College, GULBARGA (Id: C-1280)",0.31,0.69,0.17,0.28,NA,NA,NA,NA
"K.D. BARAD ARTS & COMPUTER SCIENCE COLLEGE, AHEMDPUR, MANDVI-DIU (Id: C-1043)",0.52,0.66,NA,0.41,NA,NA,NA,NA
"KDBM College, New Bus Stand, Paliwal Farm House, Sironj, Vidisha (Id: C-35271)",0.42,0.52,1,0.38,NA,NA,NA,NA
"K.D. College, Simbhaoli (Ghaziabad) Mob.No.9927103707 (Id: C-28866)",0.71,0.58,NA,0.65,NA,0.35,NA,NA
"K. D. Degree College, Raniganj (Id: C-29610)",0.8,1.26,1.29,0.7,NA,0.92,NA,NA
"K.D. Gavit Nursing College (B.Sc.) Natawad, Nandurbar (Id: C-13859)",0.44,NA,NA,NA,NA,NA,NA,NA
"K.D. Jain Mahila Mahavidyalaya, Kishangarh (Id: C-13194)",NA,NA,NA,NA,NA,NA,NA,NA
"K.D. Mahavidyalaya, Guddamalani (Id: C-13219)",NA,NA,NA,NA,NA,NA,NA,NA
"KDMGs Ayurved Medical College, Chalisgaon (Id: C-13934)",0.54,NA,NA,NA,NA,NA,NA,NA
"K.D.M.Gs Homoeopathy College, Shirpur, Dhule (Id: C-13855)",0.68,1.67,0.25,0.92,NA,0,NA,NA
"KD Pawar College of Education, Saoner (Id: C-18269)",0.1,NA,NA,NA,NA,NA,NA,NA
K D Pawar Physical Education College Saoner (Id: C-18423),0.47,0.62,NA,0,NA,NA,NA,NA
"K Dr. Haribhau Adamne Arts Commerce College, Saoner (Id: C-18408)",1.65,NA,NA,NA,NA,NA,NA,NA
"K. D. Rungta College of Science & Technology, Atari (Id: C-21740)",1,0.8,3.6,0.67,NA,0.67,1,NA
"K.D.S. Mahavidyalaya, Subhashpur, Paali, Jaunpur (Id: C-15918)",1.48,1.67,NA,1.54,NA,0.79,NA,NA
K.E.Boards First Grade Arts & College Dharwad. (Id: C-35672),0.75,0.68,0.7,0.69,0.5,0.83,NA,NA
K.E.C. College of Education (Id: C-14481),2.23,2.57,0,2.17,NA,NA,NA,NA
"KEDARNATH AGGARWAL INSTITUTE OF MANAGEMENT, CHARKHI DADRI (Id: C-45072)",0.6,NA,NA,NA,NA,NA,NA,NA
Kedar Nath Girdhari Lal Khatri (PG) College (Id: C-13318),0.65,0.78,NA,0.53,NA,NA,NA,NA
Kedarnath Jagannath College (Id: C-22557),1.1,0.88,NA,0.85,NA,NA,NA,NA
Kedarnath Ramswarup College (Id: C-22612),0.82,0.71,NA,0.9,NA,0.5,NA,NA
"Kedarnath Sanskrit Mahavidyalaya, Goppur, Cholapur (Id: C-20224)",1.58,1.93,NA,1.47,NA,NA,NA,NA
"Kedar Sukhdev S.N.O.P. Mahavidyalaya Haraspur, Chaubepur, Ghazipur (Id: C-15964)",1.55,1.54,NA,2.16,NA,NA,NA,NA
"KEERAI THAMILSELVAN COLLEG OF NURSING, PUDUKOTTAI (Id: C-45708)",NA,NA,NA,NA,NA,NA,NA,NA
Keerrai Thamil Selvan College of Education for Women (Id: C-14499),NA,NA,NA,NA,NA,NA,NA,NA
"Keertan Kesari Bhausaheb Shewalkar B.Ed. Mahavidyalaya, Paratwada (Id: C-16258)",2.38,1,4,2.31,NA,NA,NA,NA
"Keertan Mahavidyalaya, Nagpur (Id: C-16211)",4.33,NA,NA,NA,NA,NA,NA,NA
"Keertan Mahavidyalaya, Pune (Id: C-16268)",NA,NA,NA,NA,NA,NA,NA,NA
Keerthi College of Nursing (Id: C-40169),0.3,NA,NA,NA,NA,NA,NA,NA
Keins College of Education for Women (Id: C-14639),NA,NA,NA,NA,NA,NA,NA,NA
"Kelappaji College of Agrl. Engineering & Technology, Tavanur (Id: C-44030)",2.56,5,0.5,1.97,NA,NA,NA,NA
"K.E.M. Hospital, Institute of Health Care Management,Sardar Mudliyar Marg, Pune 411001 (Id: C-42207)",3.55,2,NA,5,NA,NA,NA,NA
"Kempegowda College of Law, Chikaballapur. (Id: C-9861)",0.13,0.29,0.11,0.13,NA,0,0,NA
Kempegowda College of Nursing (Id: C-40542),23.5,NA,NA,4,NA,NA,NA,NA
Kempegowda Institute of Medical Sciences (Id: C-40499),1.18,3.92,0,2,NA,NA,NA,NA
Kempegowda Institute of Physiotherapy (Id: C-40155),2.04,NA,NA,NA,NA,NA,NA,1
KEN Degree College (Id: C-25540),0.35,0.34,0.57,0.24,NA,0.67,0.5,NA
"Kengeri First Grade College, Kengeri, Bangalore-60. (Id: C-20668)",0.86,0.75,1.75,0.89,NA,NA,NA,NA
"Ken Kalashale, Sheshadripuram, Bangalore (Id: C-26655)",0.38,0.33,0,0,NA,NA,NA,NA
Kennedy College of Education (Id: C-14512),1.49,0.86,NA,2.64,0.5,0.75,NA,NA
"Kenway College of Education, Azimgarh (Id: C-29352)",2.7,0.6,NA,3.33,NA,NA,NA,NA
"Keonjhar Law College, Keonjhar (Id: C-10932)",0.51,0.45,0.31,0.42,NA,NA,NA,NA
"KEPS DEGREE COLLEGE OF SCIENCE MANAGEMENT AND I T, PANDURANA (Id: C-44986)",0.85,0.63,0.32,0.93,NA,NA,NA,NA
"Kerala Institute of Tourism and Travel Studies, Thycaud, Thiruvananthapuram (Id: C-43655)",1.05,0.5,NA,1.17,NA,0.17,0,NA
"Kerala Law Academy Law College, Thiruvananthapuram (Id: C-43597)",0.73,0.74,0.67,0.66,0,0.59,0.68,NA
Keraleeya Samajam Dombivlis Model College Near Police Colony Plot No 32 Phase II MIDC Residential Area Dombivli East Dist Thane 421 203 (Id: C-33684),1.44,1.31,1,1.64,NA,0.33,0.56,NA
"Kersari Arts & Science College, Kesari Road, North Paravur 683 513 (Id: C-11629)",0.46,0,0,0.46,NA,NA,NA,NA
"KESAI RAM JHURA DEVI MAHAVIDYALAYA, KORAON, (Id: C-12667)",1.21,1.14,NA,1.25,NA,2.33,NA,NA
Kesharbai Kale Girls College (Id: C-44113),NA,NA,NA,NA,NA,NA,NA,NA
"Kesharbai Shikshanshastra Mahavidyalaya, Achalpur. Distt:- Amravati (Id: C-42899)",1.38,NA,NA,NA,NA,NA,NA,NA
"KESHARI SHIKSHAN SAMITI, KHOKHRA JANJGIR (Id: C-48317)",NA,NA,NA,NA,NA,NA,NA,NA
"Keshar Vidnyan Mahavidyalaya,Paratwada Tq.Achalpur. (Id: C-43024)",0.58,NA,NA,NA,NA,NA,NA,NA
"Kesharwani College, Ranital, Jabalpur (Id: C-33424)",0.6,0.73,0.16,0.47,NA,NA,NA,NA
"Keshava College of Dance & Music, No.556, 11th Main, ISRO Layout, Bangalore-78 (Id: C-20655)",NA,NA,NA,NA,NA,NA,NA,NA
Keshavdev Tiwari College (Id: C-22574),0.77,0.71,NA,0.98,NA,0.34,NA,NA
KESHAV KAMALA MAHAVIDHYALYA MAHARIYA (Id: C-47435),0.97,0.84,NA,0.94,NA,NA,NA,NA
"Keshav Madhav Baijnath Mahavidyalaya, Chakavilayat, Daragah, Mau (Id: C-15901)",0.92,3.52,0.33,0.1,NA,NA,NA,NA
Keshav Mahavidyalaya (Id: C-6381),0.77,0.28,0.24,0.4,1,NA,NA,0.14
Keshav Memorial Degree & P.G. College (Id: C-25928),0.3,0.48,0.91,0.24,NA,0.16,0,NA
Keshav Memorial Institute of Technology (Id: C-19946),0.88,0.79,0.59,0.78,NA,0.67,NA,NA
"Keshav Prasad Ralhi Mahavidyalay, Aurai, Sant Ravidas Nagar, Bhadohi (Id: C-13635)",0.8,0.85,NA,0.81,NA,1,NA,NA
"KESHAV PRASAD SMARAK MAHAVIDYALAYA, MIRZAPUR KALAN, (Id: C-12298)",1.32,NA,NA,NA,NA,NA,NA,NA
"Keshavraj College of Education, Sonegaon, Patoda. (Id: C-34624)",0.15,NA,NA,NA,NA,NA,NA,NA
"Keshavraj Sevabhavi Sanstha's Majalgaon Apex I.T. College, Majalgaon (Id: C-34487)",0.15,NA,NA,NA,NA,NA,NA,NA
"Keshpur College, Keshpur (Id: C-39400)",1.49,0.88,NA,1.54,NA,0,NA,NA
"KES Vengurla Homoeopathy College, Vengurla (Id: C-14003)",1.5,1.33,0,2.33,NA,2,NA,NA
"KEVALAPATI MAHAVIDHYALAYA, SINDHOURA, MUGARSON (Id: C-47438)",0.38,0.31,0,0.47,NA,NA,NA,NA
Kevi Womens College of Education (Id: C-14726),NA,NA,NA,NA,NA,NA,NA,NA
"KEVLANAND B.ED. COLLEGE, DARANAGAR GANJ (Id: C-45161)",0.64,0.38,NA,1.14,NA,0.25,NA,NA
"Kewalramji College, Charmoshi (Id: C-18896)",0.31,0,0.25,0.42,NA,NA,NA,NA
"Kewla Sundar mahavidyalaya, Sathipar, Gorakhpur (Id: C-14277)",1.08,1,1,1.07,NA,NA,NA,NA
"Keyi Sahib Training College, Karimbam, Taliparamba, Kannur (Id: C-43886)",5.67,NA,2,4.69,NA,NA,NA,NA
K.G. College of Arts and Science (Id: C-41125),1.39,0.93,1,1.55,NA,0.73,1.23,NA
"K.G. COLLEGE OF NURSING, COIMBATORE (Id: C-45530)",213,NA,NA,NA,NA,NA,198,NA
"K.G. COLLEGE OF PHYSIOTHERAPY, COIMBATORE (Id: C-45534)",1.56,1.4,NA,2.27,NA,2,0.9,0
K G F College of Dental Sciences (Id: C-40161),1,NA,NA,NA,NA,0.56,1.75,0.6
"K.G.F Frist Grade College, Oorgam, K.G.F-563120, Kolar Dist. (Id: C-21105)",0.85,1.13,0.64,0.68,0,1.33,NA,NA
"K.G. HOSPITAL AND POST GRADUATE MEDICAL INSTITUTE, COIMBATORE (Id: C-45557)",0.97,0.67,NA,1.15,NA,1,0.71,NA
KGISL Institute of Information Management (Id: C-41127),0.51,0.78,0,0.51,NA,NA,NA,NA
KGiSL Institute of Technology (Id: C-36989),0.51,0.26,NA,0.7,NA,0.34,1.2,NA
"K Govindrao Wanjari Teachers College, Butibori (Id: C-18478)",7.44,NA,NA,NA,NA,NA,NA,NA
K.G.P.R - A.N.R.COLLEGE OF EDUCATION (Id: C-25295),2.36,2.6,0.5,2.36,NA,1,NA,NA
K.G.R Institute of Technology & Management (Id: C-25926),2.54,4,0.67,2.72,NA,NA,NA,NA
"KGSS HEMARADDH ARTS/COMM/SCI COLLEGE, TIDAGUNDI (Id: C-9883)",0.45,0.45,0.25,0.45,NA,NA,NA,NA
"Khadaki Education Society's Tikaram Jagannath College of Arts, Commerce and Science, Khadaki, Pune 03 (Id: C-41321)",0.59,0.7,0.4,0.48,NA,NA,NA,NA
"Khadir Mohideen College, Adirampattinam - 614 701. (Id: C-35867)",0.99,1.2,NA,0.93,1,0.26,2.22,NA
Khagarijan College (Id: C-17338),0.82,0.61,1.1,0.86,NA,1,NA,NA
"Khaira College, (Id: C-21395)",0.93,0.66,0.5,1.06,NA,0.33,NA,NA
KHAIR KANYA MAHAVIDYALAYA KHAIR ALIGARH (Id: C-15185),NA,NA,NA,NA,NA,NA,NA,NA
"KHAITANJI LAW COLLEGE, TIRWA, LAKHIMPUR ROAD, (Id: C-12515)",0.24,0.39,NA,0.17,NA,NA,NA,NA
"KHAJA BANDA NAWAZ COLLEGE OF NURSING, GULBARGA (Id: C-47265)",1.5,2,NA,NA,NA,NA,NA,NA
Khaja Banda Nawaz Rural Institute of Medical Sciences (Id: C-40070),0.7,2,NA,0.68,NA,0.65,0.55,NA
KHALA COLLEGE(AMRITSAR) OF TECHONOLOGY AND BUSINESS STUDIES MOHALI (Id: C-47294),0.3,0,NA,NA,NA,NA,NA,NA
Khalapur Taluka Shikshan Prasarak Mandals Khopoli Municipal Council College Khopoli Dist Raigad 410 203 (Id: C-34214),1.1,0.99,0.4,1.12,NA,1.17,1.12,NA
Khalisani Mahavidyalaya (Id: C-44706),0.96,1.18,0.91,0.34,NA,0.67,NA,NA
"Khallikote (Autonomous) College, Berhampur (Id: C-39410)",0.93,0.35,0.24,1.22,0.1,NA,NA,NA
Khalsa College Amritsar (Id: C-27937),0.79,0.88,NA,0.4,NA,NA,NA,NA
"Khalsa College, Chawinda Devi, Amritsar (Id: C-27914)",0.94,0.45,NA,2,NA,NA,NA,NA
Khalsa College for Women Amritsar (Id: C-27940),NA,NA,NA,NA,NA,NA,NA,NA
"Khalsa College for Women,Sidhwan Khurd (Id: C-29351)",NA,NA,NA,NA,NA,NA,NA,NA
"Khalsa College of Education, Muktsar (Id: C-31047)",4.26,1.5,NA,2.2,NA,NA,NA,NA
"Khalsa College of Nursing, Amritsar (Id: C-29245)",18,15,NA,NA,NA,NA,18,NA
"khalsa Education Society, G.A.D. Colony, Durg (Id: C-21699)",2.41,0.5,1,5.43,NA,3,NA,NA
"KHALSA GIRLS DEGREE COLLEGE, HARJINDER NAGAR, (Id: C-12385)",NA,NA,NA,NA,NA,NA,NA,NA
Kha-Manipur College (Id: C-9437),0.92,1.02,1.05,0.75,NA,0.82,NA,NA
Khamargachi B. Ed. College (Id: C-44740),1.37,0.4,4,1.33,0,1,NA,NA
"Khambale (Bha.), Near MIDC,Tasgaon Road, VITA (Id: C-11007)",0.47,0.72,NA,0.47,NA,NA,NA,NA
"Khammam College of Pharmacy, Allipuram (V), Khammam (Id: C-27348)",0.88,2.55,0.62,0.74,NA,4,NA,NA
Khan Abdul Gaffar Khan Arts College Parthri (Id: C-7562),1.07,NA,NA,NA,NA,2,NA,NA
"KHANDELWAL COLLEGE OF ARCHITECTURE AND DESIGN, BAREILLY (Id: C-46720)",0.71,0.2,NA,0.67,NA,0.67,2,NA
"KHANDELWAL COLLEGE OF MANAGEMENT SCIENCE AND TECHNOLOGY, BAREILLY (Id: C-46721)",0.63,0.57,NA,0.33,NA,0,3,NA
Khandelwal College of Management Science & Technology (Id: C-13349),0.96,0.6,1,0.61,0,0.5,0.61,NA
"Khandelwal TT College, Bharatpur (Id: C-38858)",0.54,0.19,0.29,0.46,0,NA,NA,NA
Khandra College (Id: C-44769),1.61,0.95,1.86,0.74,0.78,0.71,NA,NA
"Khansa Women's College for Advanced Studies , Milekallu, Kumbla (Id: C-43867)",NA,NA,NA,NA,NA,NA,NA,NA
Kharagpur College (Id: C-19091),0.94,0.65,0.83,0.76,NA,NA,NA,NA
kharagpur Homoeopathic Medical College & Hospital (Id: C-16385),2.12,1,1.4,3,NA,2,1,NA
KHARAGPUR TRIBAL B.ED TRANING COLLEGE (Id: C-48328),0.89,1,1,0,0,0,NA,NA
"Kharasrota Mohavidyalaya, Singhpur,Jajpur (Id: C-39787)",1.06,1.52,NA,0.68,NA,NA,NA,NA
"Khardiha Mahavidyalaya, Khardiha, Ghazipur (Id: C-15823)",1.24,1.82,NA,0.75,NA,NA,NA,NA
Khar Education Societys College of Commerce and Economics S V Road Khar W Mumbai 400 052 (Id: C-33857),0.52,NA,NA,NA,NA,NA,NA,NA
"KHAREPATAN PANCHROSHI SHIKSHAN PRASARAK MANDALâ€™S ARTS AND COMMERCE COLLEGE, SINDHUDURG (Id: C-45223)",0.47,NA,NA,NA,NA,NA,NA,NA
Kharupetia College (Id: C-17326),0.6,0.25,0,NA,NA,0.62,NA,NA
"KHATIZA KUTHUN COLLEGE OF EDUCAITON, NIDMANOOR (Id: C-33257)",NA,NA,NA,NA,NA,NA,NA,NA
Khatra Adibasi Mahavidyalaya (Id: C-44631),0.62,0.48,0.25,NA,NA,NA,NA,NA
"Khatun Minority Womens Social Welfare & Educational Societys Royal College of Pharmaceutical,Educational & Research, Sachane Khurd, Malegaon, Dist. Nashik 423203 (Id: C-41875)",0.65,NA,NA,NA,NA,NA,NA,NA
"Khatun Monority Womens Social Welfare & Educational Societys A.M.College of Education English Medium, Aaishanagar, Malegaon Dist.Nashik 423203 (Id: C-42195)",1.45,NA,NA,NA,NA,NA,NA,NA
"KHAWAJA GHAREEB NAWAZ( KGN) DEGREE COLLEGE, BANKOTA (Id: C-45140)",0.37,1,0.3,0.28,NA,0.6,NA,NA
Kheda Arts and Commerce College (Id: C-5893),0.82,1.56,1,0.08,NA,NA,NA,NA
Khejuri College (Id: C-19072),0.51,0.62,0.24,0.3,NA,NA,NA,NA
KHEMAJI NAIK ARTS AND SCIENCE GADCHANDUR (Id: C-46484),0.19,NA,NA,NA,NA,NA,NA,NA
KHEMAJI NAIK SCIENCE PITIGUDA (Id: C-46485),0.18,NA,NA,NA,NA,NA,NA,NA
"Khemaji Naik Teachers College, Gadchandur (Id: C-18979)",NA,NA,NA,NA,NA,NA,NA,NA
"Khemundi College, Digapahandi (Id: C-39417)",0.43,0.48,0.33,0.39,NA,NA,NA,NA
KHERAPATI SARKAR GROUP OF COLLEGE INDERGARH (Id: C-34683),0.71,0.4,0.5,0.62,NA,NA,NA,NA
K.H.MADHWANI ARTS & COMMERCE COLLEGE -PORBANDAR (Id: C-946),0.18,0.27,0.11,0.17,NA,NA,NA,NA
Khoirabari College (Id: C-17204),1.39,1.31,1.31,1.24,NA,0,NA,NA
"Khoj Mahavidyalaya, Jaipur (Id: C-38521)",1.47,1,1,1.64,NA,NA,NA,NA
"Khoj TT College, Jaipur (Id: C-39018)",0.39,0.19,0.1,0.3,NA,NA,NA,NA
"Kholeshwar Mahavidyalaya Arts & Commerce, Ambajogai. (Id: C-34473)",1.41,NA,NA,NA,NA,NA,NA,NA
Khowang College P.O. Khowang-785676 (Id: C-8370),0.61,0.44,0.69,0.58,0,0.5,NA,NA
Khudiram Bose Central College (Id: C-11947),0.76,0.91,0.2,NA,NA,0.76,NA,NA
"KHUN KHUN JI GIRLS DEGREE COLLEGE, CHOWK (Id: C-12751)",NA,NA,NA,NA,NA,NA,NA,NA
"Khunta Degree College, Khunta (Id: C-10943)",0.73,0.93,0.73,0.76,NA,NA,NA,NA
"Khurana sawant Institute of Engineering, Balsond, Hingoli (Id: C-7282)",0.3,NA,NA,NA,NA,NA,NA,NA
"Khusro Memorial Degree College, C.B. Ganj (Id: C-13355)",0.61,NA,NA,NA,NA,NA,NA,NA
Kiang Nangbah Government College (Id: C-16370),1.4,NA,1.4,NA,NA,NA,NA,NA
Kidderpore College (Id: C-11967),0.78,0.88,NA,1.29,NA,1.32,NA,NA
Kidwai Memorial Inst. of Oncology (Id: C-40160),0.43,0.89,0,NA,NA,0.5,NA,NA
"KIET B.Ed. College, No.60/1, 7th Cross, Bismillah Nagar, Bannergatta Road, Bangalore-29. (Id: C-21067)",1.14,0.17,NA,NA,NA,0.69,2,NA
"KIET SCHOOL OF PHARMACY, GHAZIABAD (Id: C-46130)",0.44,0.41,0,0.3,NA,NA,NA,NA
KIIT COLLEGE OF EDUCATION (Id: C-28209),5.7,4,NA,10,NA,NA,NA,NA
"KIIT College of Engg.Sohna Road,Bhondsi (Gurgaon) (Id: C-28203)",0.35,0.5,1,0.27,NA,NA,NA,NA
"KILPAUK MEDICAL COLLEGE, CHENNAI (Id: C-45405)",1.14,0.98,0,1.37,0.67,0.24,0.8,NA
K.Indira College of Education (Id: C-14801),6.14,1.08,NA,36.5,NA,NA,NA,NA
King College of Arts & Science for Women (Id: C-9524),NA,NA,NA,NA,NA,NA,NA,NA
King College of Education (Id: C-14930),2.63,1.64,0,3.33,NA,0,NA,NA
King College of Technology (Id: C-36959),0.35,0.4,0,0.35,NA,0.22,0.47,NA
"KING INSTITUTE OF PREVENTIVE MEDICINE AND RESEARCH, CHENNAI (Id: C-45749)",3,1,NA,NA,NA,NA,NA,NA
"KIng Nandivarman college of Arts & Science,Thellar- 604406 (Id: C-36375)",0.85,0.93,0.8,0.77,NA,0.75,NA,NA
Kings College of B.C.A. and B.B.A. (Id: C-34560),0.28,0.19,0,0.91,NA,NA,NA,NA
Kings College of Engineering (Id: C-25038),0.95,0.65,NA,NA,NA,NA,NA,NA
Kings Engineering College (Id: C-16466),0.63,0.62,NA,0.65,NA,0.62,NA,NA
"KingsGroup of Institutions, Barnala (Id: C-10303)",0.07,0.13,NA,0.06,NA,0,0.07,NA
Kingston College of Education (Id: C-26131),1.33,0.55,3,1.14,NA,0,NA,NA
Kingston Engineering College (Id: C-16602),0.82,0.69,0.67,0.84,NA,0.34,NA,NA
Kingston Law College (Id: C-43349),1.28,NA,NA,NA,NA,NA,NA,NA
Kingston P.G. College (Id: C-25872),0.23,0.32,0.27,0.13,1,0.64,0,NA
Kingston School of Management and Science 173 (Id: C-6177),0.44,0,NA,NA,NA,0.25,NA,NA
Kingway Technical Institute (Id: C-49164),1.32,2.5,NA,0.88,NA,0.4,NA,NA
Kinjirkela College (Id: C-40900),1.03,1.25,0.95,1.45,NA,NA,NA,NA
"Kinkar Education College, Selu (Id: C-18927)",2.15,1.2,NA,2.23,NA,NA,NA,NA
"KIPM COLLEGE OF ENGINEERING AND TECHNOLOGY, GORAKHPUR (Id: C-46774)",0.07,0.06,0,0.07,NA,0.17,0,NA
"Kiran Shastri Sanskrit Mahavidyalaya, Sikandarpur (Id: C-20438)",1.06,1.18,0,1.12,NA,NA,NA,NA
Kirodimal .Govt. College Raigarh (Id: C-22390),1.26,0.82,0.99,1.45,NA,5,2.67,NA
Kirodimal Institute of Technology Garh Umaria Raigarh. (Id: C-16664),0.53,0.38,0.48,0.54,NA,0.5,NA,NA
Kirori Mal College (Id: C-6385),0.46,0.38,0.24,0.27,0.11,0.4,0,NA
"Kisanlal Nathmal Arts, Commerce College, Karanja (Lad). (Id: C-43192)",0.41,0.33,1,0.6,NA,NA,NA,NA
"KISAN MAHAVIDYALAYA, MAHUA PAKAR, BABHANJOT, GAURA CHAUKI, GONDA (Id: C-42297)",0.81,0.8,NA,0.77,NA,0.75,NA,NA
"KISAN MAHAVIDYALAYA, PATEL NAGAR, KHERHAT, (Id: C-12334)",2.26,NA,NA,NA,NA,NA,NA,NA
"Kisan Mahvidyalay Paikoli Haata, Kushi Nagar (Id: C-14065)",2.31,1.64,0.6,2.35,NA,1.83,NA,NA
"Kisan Majdur Mahavidyalaya ,Bhiti, Mau (Id: C-15812)",0.94,1.11,0.9,0.78,NA,NA,NA,NA
"Kisan P. G. College Tamkuhi Road Sevarahi, Kushi Nagar (Id: C-14306)",1.63,1.39,NA,1.43,NA,NA,NA,NA
